Case,Year,Cause of Tsunami,Focal Depth (kilometers),Magnitude,Country,Locationname,Latitude,Longitude,Height,Intensity,Deaths,Missing,Injuries,Damage (Million USD),Houses Destroyed,Houses Damaged
167,1984,Earthquake,48,6.9,JAPAN,HONSHU ISLAND,34.006,141.5,0.13,,,,,,,
168,1984,Earthquake,33,6.8,RUSSIA,KAMCHATKA,56.194,163.46,0.2,,,,,,,
169,1985,Earthquake,33,8,CHILE,CENTRAL CHILE,-33.132,-71.708,3.5,,180,,2575,1500,,
170,1985,Earthquake,13,6.4,GUADELOUPE (FRENCH TERRITORY),GUADELOUPE,17.013,-62.448,0.12,,,,6,,,
171,1985,Earthquake,28,8,MEXICO,MEXICO,18.19,-102.533,3,,9500,,30000,4000,,
172,1985,Earthquake,31,7.6,MEXICO,MEXICO,17.802,-101.647,1.2,,,,,,,
173,1986,Earthquake,31,8,USA,"ANDREANOF ISLANDS, AK",51.52,-174.776,0.9,,,,,,,
174,1986,Earthquake,29,7.8,NEW ZEALAND,KERMADEC ISLANDS,-28.117,-176.367,0.22,,,,,,,
175,1986,Earthquake,34,7.8,TAIWAN,TAIWAN,23.901,121.574,0.3,,15,,44,,,
176,1987,Earthquake,48,6.7,JAPAN,E. HONSHU ISLAND,36.988,141.689,0.1,,,,,,,
177,1987,Earthquake,55,7.4,PAPUA NEW GUINEA,SOLOMON SEA,-6.088,147.689,1.5,,3,,,2.625,,
178,1987,Earthquake,62,7.6,CHILE,NORTHERN CHILE,-24.388,-70.161,0.2,,1,,,,,
179,1987,Earthquake,54,6.7,JAPAN,KYUSHU ISLAND,32.034,131.837,0.04,,2,,5,,,
180,1987,Earthquake,23,5.1,JAPAN,HONSHU ISLAND,37.447,137.865,0.16,,,,,,,
181,1987,Earthquake,16,7.3,TONGA,TONGA ISLANDS,-17.94,-172.225,0.25,,,,,,,
182,1987,Earthquake,25,7,PAPUA NEW GUINEA,SOLOMON SEA,-7.288,154.371,0.1,,,,,,,
183,1987,Earthquake,48,7.4,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-6.266,149.06,0.1,,,,,,,
184,1987,Earthquake,10,7.2,USA,"GULF OF ALASKA, AK",58.586,-143.27,0.06,,,,,,,
185,1987,Earthquake,10,7.9,USA,"GULF OF ALASKA, AK",58.679,-142.786,0.43,,,,,,,
186,1988,Earthquake,37,7.2,CHILE,NORTHERN CHILE,-24.753,-70.433,0.1,,,,,,,
187,1988,Earthquake,15,7.8,USA,"GULF OF ALASKA, AK",57.262,-142.747,0.19,,,,,0.005,,
188,1988,Earthquake,53,5.4,PHILIPPINES,NORTH OF LUZON ISLAND,18.606,121.013,1.03,,,,,,,
189,1988,Earthquake,53,6.8,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-5.964,148.78,0.1,,,,,,,
